 Rig #  Mfg                    Model                   Version         Status      Macro
  3022  Icom                   IC-738                  20220909.0      Alpha       RIG_MODEL_IC738
  3023  Icom                   IC-746                  20220909.3      Stable      RIG_MODEL_IC746
  3024  Icom                   IC-751                  20220909.0      Stable      RIG_MODEL_IC751
  3026  Icom                   IC-756                  20220909.3      Stable      RIG_MODEL_IC756
  3027  Icom                   IC-756PRO               20220909.3      Stable      RIG_MODEL_IC756PRO
  3028  Icom                   IC-761                  20220909.0      Stable      RIG_MODEL_IC761
  3029  Icom                   IC-765                  20220909.0      Stable      RIG_MODEL_IC765
  3030  Icom                   IC-775                  20220909.0      Alpha       RIG_MODEL_IC775
  3031  Icom                   IC-781                  20220909.1      Stable      RIG_MODEL_IC781
  3032  Icom                   IC-820H                 20220909.0      Beta        RIG_MODEL_IC820
  3034  Icom                   IC-821H                 20220909.1      Stable      RIG_MODEL_IC821H
  3035  Icom                   IC-970                  20220909.0      Alpha       RIG_MODEL_IC970
  3036  Icom                   IC-R10                  20220909.0      Stable      RIG_MODEL_ICR10
  3037  Icom                   IC-R71                  20220909.0      Alpha       RIG_MODEL_ICR71
  3038  Icom                   IC-R72                  20220909.0      Alpha       RIG_MODEL_ICR72
  3039  Icom                   IC-R75                  20220909.0      Stable      RIG_MODEL_ICR75
  3040  Icom                   IC-R7000                20220909.0      Beta        RIG_MODEL_ICR7000
  3041  Icom                   IC-R7100                20220909.0      Alpha       RIG_MODEL_ICR7100
  3042  Icom                   ICR-8500                20220909.0      Stable      RIG_MODEL_ICR8500
  3043  Icom                   IC-R9000                20220909.0      Beta        RIG_MODEL_ICR9000
  3044  Icom                   IC-910                  20220909.1      Stable      RIG_MODEL_IC910
  3045  Icom                   IC-78                   20220909.0      Alpha       RIG_MODEL_IC78
  3046  Icom                   IC-746PRO               20220909.2      Stable      RIG_MODEL_IC746PRO
  3047  Icom                   IC-756PROII             20220909.3      Stable      RIG_MODEL_IC756PROII
  3051  Ten-Tec                Omni VI Plus            20220909.0      Stable      RIG_MODEL_OMNIVIP
  3052  Optoelectronics        OptoScan535             20220909.0      Stable      RIG_MODEL_OS535
  3053  Optoelectronics        OptoScan456             20220909.0      Stable      RIG_MODEL_OS456
  3054  Icom                   IC ID-1                 20220909.0      Alpha       RIG_MODEL_ICID1
